,A83-1002.pdf.txt,D09-1016.pdf.txt,E91-1034.pdf.txt,J06-1006.pdf.txt
156,0,1,0,0
cons,1,0,0,0
methodology,1,0,0,0
non-key,1,0,0,0
acc,0,3,0,0
pr,0,6,0,0
rec,0,6,0,0
identical,1,0,0,0
57,0,5,0,0
55,0,9,0,0
86,0,7,0,0
87,0,5,0,0
81,0,5,0,0
correctly,1,3,0,0
91,0,8,0,0
85,0,5,0,0
88,0,4,0,0
68,0,1,0,0
ionsh,1,0,0,0
ip,1,0,0,0
84,0,4,0,0
93,0,1,0,0
83,0,6,0,0
wh,2,0,0,0
ich,2,0,0,0
ther,3,0,0,0
82,0,3,0,0
64,0,3,0,0
92,0,2,0,0
cw,2,0,0,0
conta,1,0,0,0
ins,3,0,0,0
79,0,4,0,0
62,0,6,0,0
iness,3,0,0,0
contact,1,0,0,0
ask,5,0,0,0
61,2,4,0,0
id,2,0,0,0
lon,2,0,0,0
72,0,4,0,0
ta,5,0,0,0
74,0,2,0,0
78,1,1,0,0
super,2,0,0,0
95,0,1,0,0
r?,2,0,0,0
76,0,1,0,0
•,2,0,0,0
beg,1,0,0,0
89,0,4,0,0
recognizers,0,1,0,0
cross-validation,0,2,0,0
keeps,1,0,0,0
journal,1,1,0,0
user-system,1,0,0,0
module-to-module,1,0,0,0
94,0,2,0,0
98,0,1,0,0
cer,1,0,0,0
cir-,1,0,0,0
cumstances,1,0,0,0
sensitive,1,0,0,0
affecting,1,0,0,0
taken,0,1,0,0
sentence?,0,1,0,0
loosely,1,0,0,0
classif,1,0,0,0
obvious,0,1,0,0
qaeda,0,2,0,0
operatives,0,1,0,0
at-,0,1,0,0
tack,0,1,0,0
madrid,0,2,0,0
overlap,1,0,0,0
subway,0,1,0,0
criteria,1,0,0,0
evaluating,1,0,0,0
population,0,1,0,0
officials,0,1,0,0
stepped,0,1,0,0
primary,1,0,0,0
tackled,0,1,0,0
creating,1,1,0,0
defining,1,0,0,0
notation,0,1,0,0
conducting,0,1,0,0
discus-,1,0,0,0
annota-,0,2,0,0
delineated,0,1,0,0
associ-,1,0,0,0
ated,1,0,0,0
systematic,1,0,0,0
acquisi-,1,0,0,0
constrained,0,1,0,0
annotators,0,2,0,0
wish,2,0,0,0
mur-,0,1,0,0
der,0,1,0,0
peru,0,1,0,0
collect,1,0,0,0
statist,1,0,0,0
filled,0,1,0,0
appli,1,0,0,0
cants,1,0,0,0
labeled,0,4,0,0
judges,0,2,0,0
interac-,2,0,0,0
anno-,0,2,0,0
tated,0,1,0,0
cooperative,1,0,0,0
dialogues,1,0,0,0
anguage,1,0,0,0
protoco,1,0,0,0
ls,2,0,0,0
docu-,0,1,0,0
ments,0,1,0,0
ted,4,0,0,0
compute,0,1,0,0
inter-annotator,0,1,0,0
cohen’s,0,2,0,0
forces,2,0,0,0
europe,1,0,0,0
difficulty,0,1,0,0
nato,1,0,0,0
satisfied,0,1,0,0
importance,1,0,0,0
potential,2,0,0,0
well-defined,0,1,0,0
tations,0,1,0,0
lopers,1,0,0,0
underestimated,1,0,0,0
bas,1,0,0,0
fo,4,0,0,0
de,2,0,0,0
training/testing,0,3,0,0
eventual,1,0,0,0
acceptance,1,0,0,0
rejection,1,0,0,0
sys,3,0,0,0
recogn,1,0,0,0
combinations,0,1,0,0
datum,1,0,0,0
smallest,1,0,0,0
piece,1,0,0,0
obtainable,1,0,0,0
performed,0,1,0,0
north,6,0,0,0
hills,5,0,0,0
shipped,4,0,0,0
light,2,0,0,0
freight,5,0,0,0
svmlight,0,2,0,0
superior?,1,0,0,0
returns,1,0,0,0
colonial,1,0,0,0
supreme,4,0,0,0
f-scores,0,2,0,0
qualify,1,0,0,0
rows,0,2,0,0
ans,0,1,0,0
superior,1,2,0,0
mod-,0,1,0,0
els,0,1,0,0
hum,0,2,0,0
alphanumeric,1,0,0,0
left,0,2,0,0
nizing,1,0,0,0
selectors,1,0,0,0
evalua-,0,1,0,0
nize,1,0,0,0
expects,0,1,0,0
tested,0,3,0,0
recognized,8,0,0,0
bear,0,1,0,0
boldfaced,0,1,0,0
rep-,0,1,0,0
resent,0,1,0,0
correction,2,0,0,0
accuracies,0,1,0,0
spelling,2,0,0,0
do-,0,1,0,0
locate,1,0,0,0
expect,0,1,0,0
unrecog-,1,0,0,0
nized,1,0,0,0
achieving,0,2,0,0
spell,6,0,0,0
157,0,1,0,0
small,4,0,0,0
_values,1,0,0,0
va,3,1,0,0
lues,1,0,0,0
become,2,0,0,0
unwieldy,1,0,0,0
itemize,1,0,0,0
nb/nb,0,7,0,0
yy/mm/dd,1,0,0,0
matching,1,1,0,0
nb/svm,0,6,0,0
nn/nn/nn,1,0,0,0
dates,2,0,0,0
66,0,2,0,0
icants,6,0,0,0
lastname,1,0,0,0
\[harr78,1,0,0,0
edp82\],1,0,0,0
iat,1,0,0,0
ac-,0,1,0,0
curacy,0,1,0,0
sat,1,0,0,0
isfactory,1,0,0,0
solution,4,0,0,0
higher,0,1,0,0
forced,0,1,0,0
suitable,1,0,0,0
advantages,0,1,0,0
disad-,1,0,0,0
vantages,1,0,0,0
“event-ish”,0,1,0,0
showed,0,2,0,0
outperform,0,1,0,0
cotp,1,0,0,0
luxury,0,1,0,0
enormous,1,0,0,0
prol,1,0,0,0
noisier,0,1,0,0
ferat,1,0,0,0
concurrency,1,0,0,0
directed,2,0,0,0
creative,1,0,0,0
albeit,0,1,0,0
affect,1,1,0,0
compared,0,1,0,0
manu-,0,1,0,0
open,3,0,0,0
ally,0,1,0,0
ended,1,0,0,0
decreases,0,1,0,0
employers,1,0,0,0
designer,1,0,0,0
achieves,0,1,0,0
treat,3,0,0,0
retr,4,0,0,0
ieve-only,3,0,0,0
pared,0,1,0,0
selec-,1,0,0,0
criterion,1,0,0,0
manually,0,1,0,0
enforced,1,0,0,0
probably,1,0,0,0
really,1,0,0,0
fit,1,0,0,0
variat,2,0,0,0
middle,1,0,0,0
ini-,1,0,0,0
title,1,0,0,0
dr,1,0,0,0
jr,1,0,0,0
unsat,1,0,0,0
factory,1,0,0,0
any-,1,0,0,0
trivial,1,0,0,0
inverted,1,0,0,0
easi,1,0,0,0
synonyms,1,0,0,0
inef,1,0,0,0
iency,2,0,0,0
accessing,1,0,0,0
unrecognized,1,0,0,0
culty,1,0,0,0
knowing,1,0,0,0
ob-,0,2,0,0
tain,0,1,0,0
shared,1,0,0,0
nps,0,1,0,0
default,1,1,0,0
served,0,1,0,0
talk,1,0,0,0
ferently,1,0,0,0
encounter,2,0,0,0
asks,2,0,0,0
imple-,0,1,0,0
mentation,0,1,0,0
colo-,1,0,0,0
nial,1,0,0,0
us-,0,1,0,0
outperforms,0,4,0,0
specialt,8,0,0,0
accounting,1,0,0,0
clerk,1,0,0,0
gardener,2,0,0,0
specialty,7,0,0,0
unfortunately,1,0,0,0
margin,0,1,0,0
jumped,0,2,0,0
evoke,1,0,0,0
programmers,1,0,0,0
cobol?,4,0,0,0
gains,0,1,0,0
came,0,1,0,0
increased,1,2,0,0
demonstrating,0,1,0,0
1982?,1,0,0,0
notice,2,0,0,0
extracts,0,2,0,0
missed,0,1,0,0
intro-,1,1,0,0
duced,1,0,0,0
prone,0,1,0,0
inferior,0,1,0,0
isa,2,0,0,0
hierarchy,3,0,0,0
perpetrating,0,1,0,0
158,0,1,0,0
far,0,1,0,0
removed,0,1,0,0
subset,4,0,0,0
ample,0,1,0,0
believed,0,1,0,0
subconcepts,1,0,0,0
\[sa,1,0,0,0
ineff,1,0,0,0
icient,1,0,0,0
subspecialty,1,0,0,0
subspecialt,2,0,0,0
sizes,0,1,0,0
intend,0,1,0,0
explore,0,1,0,0
avenues,0,1,0,0
thevictim,0,1,0,0
i0,1,0,0,0
find,0,1,0,0
skill,1,0,0,0
update,3,0,0,0
lue,2,0,0,0
ace,2,0,0,0
f-,0,1,0,0
uniform,2,0,0,0
adding,1,0,0,0
improvement,0,1,0,0
mostly,0,1,0,0
increase,0,1,0,0
someone,1,0,0,0
wi,2,0,0,0
categor,1,0,0,0
elimi-,0,1,0,0
ze,1,0,0,0
rarchy,2,0,0,0
pos,1,0,0,0
automation,1,0,0,0
how-,1,1,0,0
ever,1,1,0,0
achieve,0,1,0,0
pract,1,0,0,0
unt,1,0,0,0
cost,0,1,0,0
app,3,0,0,0
loss,0,1,0,0
installed,1,0,0,0
tractions,0,1,0,0
failed,0,1,0,0
driving,1,0,0,0
developer,1,0,0,0
restructuring,1,0,0,0
underlined,0,1,0,0
spite,0,1,0,0
handcrafted,1,0,0,0
inconclusive,0,1,0,0
done,3,0,0,0
policemen,0,3,0,0
clearly,1,0,0,0
traveling,0,2,0,0
facil,1,0,0,0
bridge,0,2,0,0
itating,1,0,0,0
tab,1,0,0,0
-ass,1,0,0,0
manages,0,1,0,0
ponents,0,1,0,0
prerequisite,1,0,0,0
prac-,1,0,0,0
impossible,0,1,0,0
tical,1,0,0,0
relying,0,1,0,0
mnr,0,1,0,0
january,3,1,0,0
armed,0,2,0,0
men,0,2,0,0
civilian,0,1,0,0
clothes,0,1,0,0
intercepted,0,1,0,0
vehicle,0,1,0,0
oqueli,0,1,0,0
frame-,1,0,0,0
flores,0,1,0,0
enroute,0,1,0,0
aurora,0,1,0,0
airport,0,1,0,0
political,0,1,0,0
resolve,1,0,0,0
leaders,0,1,0,0
ambi-,1,0,0,0
guity,1,0,0,0
kidnapped,0,1,0,0
missing,1,1,0,0
technique,1,0,0,0
scant,0,1,0,0
police,0,1,0,0
said,0,1,0,0
devices,0,2,0,0
apparently,0,1,0,0
front,3,1,0,0
bank,0,1,0,0
branches,0,1,0,0
anaphora,1,0,0,0
minutes,1,1,0,0
ellipsis,1,0,0,0
curfew,0,1,0,0
began,0,1,0,0
6th,0,1,0,0
consecutive,0,1,0,0
desirable,2,0,0,0
day,1,1,0,0
allow,1,0,0,0
counter,0,1,0,0
elliptical,1,0,0,0
drug,0,1,0,0
traffickers,0,1,0,0
wounded,0,1,0,0
employees,0,2,0,0
c?,1,0,0,0
gas,0,3,0,0
station,0,3,0,0
live,2,0,0,0
california?,1,0,0,0
car,1,1,0,0
nevada?,1,0,0,0
went,0,1,0,0
pascal?,1,0,0,0
walking,0,1,0,0
biggest,1,0,0,0
scope,3,0,0,0
moment,0,1,0,0
explosion,0,1,0,0
members,1,1,0,0
wishes,1,0,0,0
squad,0,1,0,0
deactivated,0,1,0,0
powerful,0,1,0,0
planted,0,1,0,0
pascal,1,0,0,0
andres,0,1,0,0
avelino,0,1,0,0
caceres,0,1,0,0
president,0,2,0,0
alan,0,2,0,0
garcia,0,2,0,0
ve,1,0,0,0
nevada,1,0,0,0
participate,1,1,0,0
lu,1,0,0,0
commemoration,0,1,0,0
battle,0,1,0,0
tarapaca,0,1,0,0
rov,1,0,0,0
ide,3,0,0,0
commands,1,0,0,0
epl,0,1,0,0
[popular,0,1,0,0
liberation,0,1,0,0
army],0,1,0,0
guerrillas,0,1,0,0
blew,0,1,0,0
subsets,1,0,0,0
public,0,2,0,0
removes,1,0,0,0
ambiguity,1,0,0,0
speeds,1,0,0,0
crossing,0,1,0,0
retrieval,5,1,0,0
venting,0,1,0,0
toward,1,1,0,0
conclusions,1,1,0,0
aware,1,0,0,0
accessed,1,0,0,0
pro,1,0,0,0
jec,1,0,0,0
bet-,0,1,0,0
jo,3,0,0,0
fu-,0,1,0,0
dynamical,1,0,0,0
temporari,1,0,0,0
adapt,0,1,0,0
weakly,0,1,0,0
super-,0,1,0,0
vised,0,1,0,0
plan,0,1,0,0
intell,1,0,0,0
investigate,0,1,0,0
respond,1,0,0,0
promptly,1,0,0,0
effects,0,1,0,0
acknowledgments,0,1,0,0
message,1,2,0,0
partment,0,1,0,0
homeland,0,1,0,0
grant,0,1,0,0
n0014-07-,0,1,0,0
1-0152,0,1,0,0
typographical,1,0,0,0
grateful,0,1,0,0
nathan,0,1,0,0
interacting,1,0,0,0
gilbert,0,1,0,0
adam,0,1,0,0
teichert,0,1,0,0
collective,0,1,0,0
formation,0,2,0,0
net-,0,1,0,0
42nd,0,1,0,0
annual,1,5,0,0
failure,2,0,0,0
meet-,0,1,0,0
association,1,5,0,0
linguis-,0,1,0,0
438–445,0,1,0,0
barcelona,0,1,0,0
spain,0,1,0,0
july,1,3,0,0
wel,1,0,0,0
formedness,1,0,0,0
iceab,1,0,0,0
177–210,0,1,0,0
unrecognizable,1,0,0,0
december,0,1,0,0
ng,0,1,0,0
loca-,1,0,0,0
closing,0,1,0,0
tlon,1,0,0,0
gap,1,1,0,0
hills?,1,0,0,0
rival-,0,1,0,0
knowledge-engineering,0,1,0,0
proceed-,2,3,0,0
41st,0,1,0,0
appllcacion,1,0,0,0
meeting,0,4,0,0
derivable,1,0,0,0
recognizable,1,0,0,0
216–223,0,1,0,0
sap-,0,1,0,0
poro,0,1,0,0
japan,0,1,0,0
beyond,0,1,0,0
interpreting,1,0,0,0
inde-,0,1,0,0
pendence,0,1,0,0
optimality,0,1,0,0
sim-,0,1,0,0
mohawk,3,0,0,0
bayesian,0,2,0,0
to?,1,0,0,0
thir-,0,1,0,0
teenth,0,1,0,0
learn-,0,1,0,0
105–112,0,1,0,0
bari,0,1,0,0
italy,0,1,0,0
panies,2,0,0,0
receiving,2,0,0,0
grenager,0,1,0,0
offices,1,0,0,0
panies;,1,0,0,0
corporating,0,1,0,0
non-local,0,1,0,0
office,1,0,0,0
nor,1,0,0,0
gibbs,0,1,0,0
43rd,0,1,0,0
363–370,0,1,0,0
ann,0,1,0,0
arbor,0,1,0,0
system;,1,0,0,0
mi,0,1,0,0
june,2,6,0,0
succeeds,1,0,0,0
fails,2,0,0,0
completely,1,0,0,0
yes/no,3,0,0,0
normal,1,0,0,0
learned,0,1,0,0
stochastic,0,1,0,0
optimization,0,1,0,0
sev-,0,1,0,0
enteenth,0,1,0,0
abil,1,0,0,0
intelli-,0,2,0,0
gence,0,2,0,0
yes,3,0,0,0
584–589,0,1,0,0
austin,0,1,0,0
tx,0,1,0,0
maps,1,0,0,0
general-purpose,0,1,0,0
36th,0,1,0,0
identifier,1,0,0,0
compu-,0,1,0,0
tational,0,1,0,0
17th,0,1,0,0
cept,1,0,0,0
confer-,1,1,0,0
404–408,0,1,0,0
montreal,0,2,0,0
quebec,0,1,0,0
grishman,0,2,0,0
refining,0,1,0,0
reasons,1,0,0,0
cross-document,0,1,0,0
ceedings,0,2,0,0
acl-08,0,1,0,0
hlt,0,1,0,0
254–262,0,1,0,0
colum-,0,1,0,0
oh,0,1,0,0
smith,5,0,0,0
interviewed?,1,0,0,0
mean,2,0,0,0
sup-,1,1,0,0
port,0,1,0,0
interviews,4,0,0,0
tenth,0,1,0,0
european,0,1,0,0
interview,3,0,0,0
137–142,0,1,0,0
april,2,1,0,0
raghavan,0,1,0,0
schu¨tze,0,1,0,0
duction,0,1,0,0
possibi,1,0,0,0
versity,0,1,0,0
ny,0,2,0,0
employment,1,0,0,0
hired,2,0,0,0
45th,0,1,0,0
lin-,0,1,0,0
conjunct,3,0,0,0
guistics,0,1,0,0
592–599,0,1,0,0
prague,0,2,0,0
czech,0,2,0,0
republic,0,1,0,0
ficult,2,0,0,0
analyz-,1,0,0,0
necessar,1,0,0,0
lan-,0,3,0,0
guage,0,3,0,0
717–727,0,1,0,0
fornia,1,0,0,0
arizona,1,0,0,0
exploiting,0,1,0,0
identifying,0,1,0,0
female,2,0,0,0
advances,0,1,0,0
165–172,0,1,0,0
borovets,0,1,0,0
bul-,0,1,0,0
garia,0,1,0,0
september,0,1,0,0
uucs-04-015,0,1,0,0
untagged,0,1,0,0
thirteenth,0,1,0,0
articial,0,1,0,0
1044–1049,0,1,0,0
portland,0,1,0,0
fisher,0,1,0,0
aseltine,0,1,0,0
lehnert,0,1,0,0
residence,1,0,0,0
crystal,0,1,0,0
inducing,0,1,0,0
returned,2,0,0,0
nary,0,1,0,0
fourteenth,0,1,0,0
intelligence,0,1,0,0
1314–1319,0,1,0,0
complement,1,0,0,0
canada,0,1,0,0
fourth,0,2,0,0
operators,2,0,0,0
ference,0,1,0,0
3–21,0,1,0,0
mclean,0,1,0,0
icul,2,0,0,0
springer,0,1,0,0
presupposit,1,0,0,0
invalid,1,0,0,0
mining,0,1,0,0
especial,2,0,0,0
practical,0,1,0,0
exam-,2,0,0,0
morgan–,0,1,0,0
kaufmann,0,1,0,0
san,0,1,0,0
francisco,0,1,0,0
pany,3,0,0,0
tapanainen,0,1,0,0
hut-,0,1,0,0
tunen,0,1,0,0
nh2?,1,0,0,0
18th,0,1,0,0
putational,0,1,0,0
940–946,0,1,0,0
saarbru¨cken,0,1,0,0
germany,0,1,0,0
han-,1,0,0,0
2001,0,1,0,0
dled,1,0,0,0
obtaining,0,1,0,0
cal-,0,1,0,0
ibrated,0,1,0,0
colonial?,1,0,0,0
classiers,0,1,0,0
eighteenth,0,1,0,0
!-,1,0,0,0
operator,3,0,0,0
609–616,0,1,0,0
williamstown,0,1,0,0
160,0,1,0,0
perfect,1,0,0,0
semantical,1,0,0,0
worse,1,0,0,0
expectat,1,0,0,0
ibe,1,0,0,0
unaware,1,0,0,0
nepption,1,0,0,0
expli-,1,0,0,0
cit,1,0,0,0
negatives,1,0,0,0
\[olne78\],2,0,0,0
perishable,3,0,0,0
1976?,2,0,0,0
none,1,0,0,0
receivers,1,0,0,0
shippers,1,0,0,0
inct,1,0,0,0
closed,1,0,0,0
real,1,0,0,0
crit,1,0,0,0
rich,1,0,0,0
enough,1,0,0,0
specif,2,0,0,0
imitation,1,0,0,0
prevents,1,0,0,0
joins,2,0,0,0
edu-,1,0,0,0
corrected,1,0,0,0
subsequent,1,0,0,0
range,2,0,0,0
state-,1,0,0,0
\[ston76\],2,0,0,0
interrecord,1,0,0,0
express,2,0,0,0
unsolved?,1,0,0,0
mixed,2,0,0,0
lower,2,0,0,0
ver,1,0,0,0
leave,1,0,0,0
poss,1,0,0,0
ib,1,0,0,0
conver,1,0,0,0
enter,1,0,0,0
granular,3,0,0,0
expected,1,0,0,0
something,1,0,0,0
iven,1,0,0,0
fractions,1,0,0,0
compar,1,0,0,0
sons,1,0,0,0
sac,5,0,0,0
release,3,0,0,0
installed?,1,0,0,0
repor,2,0,0,0
month,2,0,0,0
return,2,0,0,0
nc,2,0,0,0
idents,1,0,0,0
days,1,0,0,0
led,2,0,0,0
nested,4,0,0,0
complicated,1,0,0,0
qualif,4,0,0,0
inside,1,0,0,0
clause,3,0,0,0
ident,1,0,0,0
longest,1,0,0,0
downt,1,0,0,0
ime?,1,0,0,0
rom,1,0,0,0
\[inca,1,0,0,0
id\],1,0,0,0
inca,6,0,0,0
sitename,3,0,0,0
dntm,2,0,0,0
\[retrieve,1,0,0,0
max,1,0,0,0
},2,0,0,0
enclosed,1,0,0,0
braces,1,0,0,0
removing,1,0,0,0
inner,2,0,0,0
outer,2,0,0,0
formu-,1,0,0,0
lation,1,0,0,0
ieve,2,0,0,0
\,3,0,0,0
[cc,1,0,0,0
scname\,1,0,0,0
],2,0,0,0
cc,3,0,0,0
>-,1,0,0,0
{,1,0,0,0
[avg,1,0,0,0
cct,2,0,0,0
company-,1,0,0,0
-company,1,0,0,0
transaction,1,0,0,0
scname,1,0,0,0
again,1,0,0,0
qua,2,0,0,0
ns,1,0,0,0
outs,1,0,0,0
par,1,0,0,0
manner,1,0,0,0
imi,1,0,0,0
procedure,1,0,0,0
ra,1,0,0,0
save,1,0,0,0
resu,1,0,0,0
usa,1,0,0,0
tements,1,0,0,0
ncons,1,0,0,0
tency,1,0,0,0
truly,1,0,0,0
mask,1,0,0,0
behav,1,0,0,0
ior,1,0,0,0
rocess,1,0,0,0
equ,1,0,0,0
iva,1,0,0,0
lent,1,0,0,0
retrieved,1,0,0,0
ined,1,0,0,0
displayed,1,0,0,0
acts,1,0,0,0
tuple,1,0,0,0
tup,1,0,0,0
retrieves,2,0,0,0
master,1,0,0,0
subfile,1,0,0,0
anomalies,1,0,0,0
pure,1,0,0,0
thei,1,0,0,0
treated,1,0,0,0
hierarch,1,0,0,0
ica,1,0,0,0
viewed,1,0,0,0
plus,1,0,0,0
interpreta-,1,0,0,0
tar-,1,0,0,0
considerat,1,0,0,0
lle,1,0,0,0
outside,1,0,0,0
involve,1,0,0,0
plexity,1,0,0,0
icular,1,0,0,0
decis,1,0,0,0
chain,1,0,0,0
trap,1,0,0,0
stop,1,0,0,0
meaningful,2,0,0,0
analyzable,1,0,0,0
chance,1,0,0,0
wrong,1,0,0,0
rephrased,1,0,0,0
codd,2,0,0,0
procedures,1,0,0,0
avoid,1,0,0,0
avoiding,1,0,0,0
communicat,1,0,0,0
candidates,1,0,0,0
rate,1,0,0,0
flat,1,0,0,0
quer,1,0,0,0
exp,1,0,0,0
mapp,1,0,0,0
answered,2,0,0,0
navigation,1,0,0,0
start,1,0,0,0
ies?,1,0,0,0
array,4,0,0,0
nonrelat,1,0,0,0
lonal,1,0,0,0
ieves,1,0,0,0
subscript,2,0,0,0
supp,1,0,0,0
rt,1,0,0,0
managdment,1,0,0,0
interact,1,0,0,0
ively,1,0,0,0
noc,1,0,0,0
batch,1,0,0,0
queue,1,0,0,0
nil,1,0,0,0
arithmetic,2,0,0,0
capabil,2,0,0,0
aggregate,1,0,0,0
sum,1,0,0,0
easy-to-,1,0,0,0
calculates,1,0,0,0
ported,1,0,0,0
age,1,0,0,0
today-birthdate,1,0,0,0
spe-,1,0,0,0
cial,1,0,0,0
iona,1,0,0,0
lcu,1,0,0,0
requ,1,0,0,0
nava,1,0,0,0
metadata,4,0,0,0
tell,1,0,0,0
ind,1,0,0,0
warehouses,1,0,0,0
meta-,1,0,0,0
extensions,1,0,0,0
leve,1,0,0,0
learn,1,0,0,0
mode,1,0,0,0
menus,1,0,0,0
meta,1,0,0,0
updating,1,0,0,0
avoided,1,0,0,0
tains,1,0,0,0
derlve4,1,0,0,0
risk,1,0,0,0
inadvertently,1,0,0,0
entering,1,0,0,0
incorrectly-,1,0,0,0
attempting,1,0,0,0
\[0si79\],1,0,0,0
transla-,1,0,0,0
lo,1,0,0,0
dms,1,0,0,0
paths,1,0,0,0
standardize,1,0,0,0
rapidly,2,0,0,0
vlew,1,0,0,0
modell,1,0,0,0
sidered,1,0,0,0
divorced,1,0,0,0
contents,1,0,0,0
determined,1,0,0,0
considering,1,0,0,0
allowed,1,0,0,0
accu-,1,0,0,0
rately,1,0,0,0
reflect,1,0,0,0
inferred,1,0,0,0
acknowledgements,1,0,0,0
acknowledge,1,0,0,0
contributed,1,0,0,0
david,1,0,0,0
brill,1,0,0,0
marilyn,1,0,0,0
cril-,1,0,0,0
ley,2,0,0,0
dolores,1,0,0,0
dawson,1,0,0,0
leroy,1,0,0,0
gates,1,0,0,0
iris,1,0,0,0
kameny,1,0,0,0
philip,1,0,0,0
klahr,1,0,0,0
antonio,1,0,0,0
leal,1,0,0,0
char-,1,0,0,0
lotte,1,0,0,0
linde,1,0,0,0
eric,1,0,0,0
lund,1,0,0,0
fillp,1,0,0,0
machi,1,0,0,0
ken-,1,0,0,0
neth,1,0,0,0
miller,1,0,0,0
eileen,1,0,0,0
lepoff,1,0,0,0
beatrice,1,0,0,0
oshika,1,0,0,0
roberta,1,0,0,0
peeler,1,0,0,0
douglas,1,0,0,0
pintar,1,0,0,0
arie,1,0,0,0
shoshani,1,0,0,0
martin,1,0,0,0
vago,1,0,0,0
jim,1,0,0,0
weiner,1,0,0,0
\[5,1,0,0,0
aho,1,0,0,0
ullman,1,0,0,0
vol,2,0,0,0
pp,5,0,0,0
314-23z,1,0,0,0
\[burgbff\],1,0,0,0
198z,1,0,0,0
acm/sigmod,1,0,0,0
-a,1,0,0,0
-o,1,0,0,0
cay-,1,0,0,0
-ca,1,0,0,0
14-16,1,0,0,0
198ff,1,0,0,0
pleton,1,0,0,0
recommendations,1,0,0,0
eor,1,0,0,0
n-,1,0,0,0
-24890/021/00,1,0,0,0
1982,2,0,0,0
steps,1,0,0,0
casual,2,0,0,0
proc,1,0,0,0
ifip,1,0,0,0
tc-2,1,0,0,0
working,1,0,0,0
emen,1,0,0,0
ystems,1,0,0,0
gese,1,0,0,0
corsica,1,0,0,0
1-5,1,0,0,0
kimbie,1,0,0,0
koffeman,1,0,0,0
eds,1,0,0,0
north-holland,1,0,0,0
cullinane,1,0,0,0
iqs,1,0,0,0
sum-,1,0,0,0
edition,1,0,0,0
addison-wesley,1,0,0,0
menlo,1,0,0,0
edp,1,0,0,0
sep-,1,0,0,0
tember,1,0,0,0
harris,1,0,0,0
acm,6,0,0,0
1978,3,0,0,0
hendrix,1,0,0,0
sacerdoti,1,0,0,0
sagalowicz,1,0,0,0
slocum,1,0,0,0
sri,1,0,0,0
78-305,1,0,0,0
rhone76\],1,0,0,0
wwmccs,2,0,0,0
guide,1,0,0,0
de97,1,0,0,0
ray,1,0,0,0
\[kell71\],1,0,0,0
kellogg,1,0,0,0
billet,1,0,0,0
fogt,1,0,0,0
plans,1,0,0,0
szmposium,1,0,0,0
ntormation,1,0,0,0
etrleval-,1,0,0,0
1971,1,0,0,0
mylopoulos,1,0,0,0
8org,1,0,0,0
ida,1,0,0,0
cohen,1,0,0,0
roussopoulos,1,0,0,0
tsotsos,1,0,0,0
wong,1,0,0,0
towards,1,0,0,0
bridging,1,0,0,0
bases,1,0,0,0
pergamon,1,0,0,0
49-64,1,0,0,0
olney,1,0,0,0
enabling,1,0,0,0
sp-3996,1,0,0,0
operating,1,0,0,0
logicon/osi,1,0,0,0
divi-,1,0,0,0
16,1,0,0,0
osi,1,0,0,0
r79-026,1,0,0,0
1979,3,0,0,0
scha,1,0,0,0
question-answering,1,0,0,0
sigart,2,0,0,0
newsletter,2,0,0,0
puting,1,0,0,0
machinery,3,0,0,0
comm,1,0,0,0
53-70,1,0,0,0
stonebraker,1,0,0,0
electronics,1,0,0,0
laboratory,1,0,0,0
berke-,1,0,0,0
memorandum,1,0,0,0
erl-m577,1,0,0,0
27,1,0,0,0
\[temp79\],1,0,0,0
flexible,1,0,0,0
frontend,1,0,0,0
hof,1,0,0,0
e--as--,1,0,0,0
cl,1,0,0,0
tot,1,0,0,0
rn,2,0,0,0
stics,1,0,0,0
\[temp80\],1,0,0,0
pathwazs,1,0,0,0
washington,1,0,0,0
dyc,1,0,0,0
ah,1,0,0,0
thompson,1,0,0,0
lock-,1,0,0,0
emann,1,0,0,0
dostert,1,0,0,0
deverill,1,0,0,0
extensible,1,0,0,0
24th,1,0,0,0
ociation--,1,0,0,0
1969,1,0,0,0
399-417,1,0,0,0
associa-,1,0,0,0
communications,1,0,0,0
21,1,0,0,0
526-539,1,0,0,0
woods,1,0,0,0
kaplan,1,0,0,0
nash-webber,1,0,0,0
lan,1,0,0,0
ua,1,0,0,0
e-,1,0,0,0
rnformation,1,0,0,0
bolt,1,0,0,0
beranek,1,0,0,0
newman,1,0,0,0
